title,description,category
Penambahan CCTV perempatan,Mohon dipertimbangkan program taman baca di RT 02 RW 01 Kel. Mawar untuk mencegah menyebabkan banjir kecil.,SUGGESTION
Sampah menumpuk perempatan,Tumpukan plastik tiap akhir pekan tidak diangkut sejak 14 hari. Area RT 08 RW 01 menjadi kotor dan rawan kecelakaan.,CLEANLINESS
Tempat sampah terpilah taman,Mohon dipertimbangkan program one gate system di RT 03 RW 04 Kel. Mawar untuk mencegah membuat jalan licin.,SUGGESTION
Kebocoran pipa air jembatan kecil,Pasokan listrik bermasalah seminggu sekali sejak 7 hari di Jl. Kenanga 5. Dampak: mengganggu aktivitas warga. Mohon pengecekan meter/pompa.,UTILITIES
Pencurian motor jembatan kecil,Kejadian pencurian terjadi hampir tiap hari pada siang di RT 01 RW 02 Kel. Mawar. Kondisi menyebabkan bau menyengat.,SECURITY
Sampah menumpuk samping pos ronda,Tumpukan daun kering tiap akhir pekan tidak diangkut sejak 6 hari. Area RT 04 RW 01 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
Balap liar gang utama,Kejadian balap liar terjadi tiap akhir pekan pada pagi di RT 04 RW 05 Kel. Mawar. Kondisi mengakibatkan area gelap.,SECURITY
Usulan bank sampah depan masjid,Mohon dipertimbangkan program rak sepeda di RT 06 RW 02 Kel. Cempaka untuk mencegah membuat jalan licin.,SUGGESTION
Temuan dompet perempatan,Informasi umum: administrasi. Lokasi RT 03 RW 03 Kel. Teratai. Mohon tindak lanjut.,OTHER
Saran pemasangan speed bump perempatan,Mohon dipertimbangkan program rak sepeda di RT 01 RW 04 Kel. Anyelir untuk mencegah mengundang nyamuk.,SUGGESTION
Limbah rumah tangga ke parit taman,"Setelah hujan 1 hari, kali mengalami masalah. Terjadi longsor kecil dan menyebabkan banjir kecil.",ENVIRONMENT
Bau menyengat dari tumpukan sampah lapangan komplek,Tumpukan ranting setiap hari tidak diangkut sejak 1 hari. Area RT 05 RW 04 menjadi kotor dan membuat jalan licin.,CLEANLINESS
Pohon tumbang/miring gang utama,"Setelah hujan 10 hari, saluran mengalami masalah. Terjadi genangan dan mengganggu aktivitas warga.",ENVIRONMENT
Tempat sampah terpilah jembatan kecil,Mohon dipertimbangkan program pelatihan APAR di RT 04 RW 04 Kel. Flamboyan untuk mencegah menghambat akses darurat.,SUGGESTION
Panel PJU terbuka pasar,"PJU di Jl. Anggrek 3 padam sejak 2 hari, terutama pada malam. Menyebabkan area gelap dan rawan kecelakaan. Mohon perbaikan.",LIGHTING
Marka jalan pudar lapangan komplek,RT 02 RW 04 Jl. Anggrek 2 di Kel. Cempaka mengalami kerusakan parah selama 10 hari. Lubang berdiameter 150 cm rawan kecelakaan.,INFRASTRUCTURE
Tiang lampu miring gang utama,"PJU di Jl. Melati 2 padam sejak 4 hari, terutama pada malam. Menyebabkan area gelap dan menghambat akses darurat. Mohon perbaikan.",LIGHTING
Usulan bank sampah gang utama,Mohon dipertimbangkan program one gate system di RT 07 RW 02 Kel. Teratai untuk mencegah membuat jalan licin.,SUGGESTION
Temuan dompet lapangan komplek,Informasi umum: pinjam fasilitas. Lokasi RT 05 RW 05 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Penambahan CCTV dekat sekolah,Mohon dipertimbangkan program bank sampah di RT 06 RW 02 Kel. Teratai untuk mencegah menghambat akses darurat.,SUGGESTION
Temuan dompet dekat sekolah,Informasi umum: pinjam fasilitas. Lokasi RT 07 RW 01 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Pencurian motor lapangan komplek,Kejadian pencurian terjadi tiap akhir pekan pada sore di RT 03 RW 03 Kel. Mawar. Kondisi membuat jalan licin.,SECURITY
Air PDAM sering mati gang utama,Pasokan air bermasalah setiap hari sejak 4 hari di Jl. Anggrek 2. Dampak: menyebabkan banjir kecil. Mohon pengecekan meter/pompa.,UTILITIES
Usulan bank sampah jembatan kecil,Mohon dipertimbangkan program kerja bakti bulanan di RT 02 RW 03 Kel. Mawar untuk mencegah mengundang nyamuk.,SUGGESTION
Kap lampu pecah balai warga,"PJU di Jl. Anggrek 5 padam sejak 6 hari, terutama pada pagi. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Bau comberan dekat sekolah,"Setelah hujan 6 hari, pohon besar mengalami masalah. Terjadi hambatan aliran dan membuat jalan licin.",ENVIRONMENT
Abu pembakaran sampah mengganggu pasar,Tumpukan plastik setiap hari tidak diangkut sejak 6 hari. Area RT 05 RW 02 menjadi kotor dan membuat jalan licin.,CLEANLINESS
Tiang lampu miring pasar,"PJU di Jl. Anggrek 4 padam sejak 14 hari, terutama pada pagi. Menyebabkan area gelap dan mengganggu aktivitas warga. Mohon perbaikan.",LIGHTING
Program taman baca dekat sekolah,Mohon dipertimbangkan program bank sampah di RT 01 RW 03 Kel. Mawar untuk mencegah rawan kecelakaan.,SUGGESTION
Kebocoran pipa air jembatan kecil,Pasokan listrik bermasalah tiap akhir pekan sejak 2 hari di Jl. Kenanga 1. Dampak: membahayakan pejalan kaki. Mohon pengecekan meter/pompa.,UTILITIES
Eceng gondok menutup kali lapangan komplek,"Setelah hujan 1 hari, kali mengalami masalah. Terjadi hambatan aliran dan menghambat akses darurat.",ENVIRONMENT
Abu pembakaran sampah mengganggu samping pos ronda,Tumpukan plastik seminggu sekali tidak diangkut sejak 4 hari. Area RT 02 RW 03 menjadi kotor dan mengganggu aktivitas warga.,CLEANLINESS
Orang asing mencurigakan perempatan,Kejadian penjambretan terjadi seminggu sekali pada malam di RT 02 RW 03 Kel. Teratai. Kondisi membahayakan pejalan kaki.,SECURITY
Bahu jalan longsor samping pos ronda,RT 07 RW 05 Jl. Melati 2 di Kel. Mawar mengalami kerusakan parah selama 3 hari. Lubang berdiameter 110 cm mengganggu aktivitas warga.,INFRASTRUCTURE
Usulan bank sampah samping pos ronda,Mohon dipertimbangkan program taman baca di RT 07 RW 02 Kel. Cempaka untuk mencegah mengundang nyamuk.,SUGGESTION
Saran pemasangan speed bump perempatan,Mohon dipertimbangkan program pelatihan APAR di RT 05 RW 05 Kel. Cempaka untuk mencegah menghambat akses darurat.,SUGGESTION
Penutup got hilang balai warga,RT 02 RW 01 Jl. Anggrek 1 di Kel. Teratai mengalami kerusakan ringan selama 1 hari. Lubang berdiameter 60 cm mengganggu aktivitas warga.,INFRASTRUCTURE
Permohonan surat pengantar depan masjid,Informasi umum: barang hilang/temuan. Lokasi RT 08 RW 03 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Panel PJU terbuka jembatan kecil,"PJU di Jl. Kenanga 1 padam sejak 6 hari, terutama pada pagi. Menyebabkan area gelap dan mengakibatkan area gelap. Mohon perbaikan.",LIGHTING
Penambahan CCTV balai warga,Mohon dipertimbangkan program one gate system di RT 06 RW 05 Kel. Teratai untuk mencegah menghambat akses darurat.,SUGGESTION
Paving bergelombang pasar,RT 04 RW 04 Jl. Anggrek 4 di Kel. Mawar mengalami kerusakan ringan selama 7 hari. Lubang berdiameter 200 cm menghambat akses darurat.,INFRASTRUCTURE
Saran pemasangan speed bump balai warga,Mohon dipertimbangkan program kerja bakti bulanan di RT 03 RW 02 Kel. Anyelir untuk mencegah membuat jalan licin.,SUGGESTION
Bau comberan pasar,"Setelah hujan 4 hari, tanah tebing mengalami masalah. Terjadi longsor kecil dan menyebabkan banjir kecil.",ENVIRONMENT
Penambahan CCTV samping pos ronda,Mohon dipertimbangkan program rak sepeda di RT 10 RW 01 Kel. Mawar untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Permintaan pinjam kursi pasar,Informasi umum: administrasi. Lokasi RT 09 RW 05 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Saran pemasangan speed bump jembatan kecil,Mohon dipertimbangkan program kerja bakti bulanan di RT 10 RW 01 Kel. Anyelir untuk mencegah membuat jalan licin.,SUGGESTION
Tempat sampah terpilah depan masjid,Mohon dipertimbangkan program kerja bakti bulanan di RT 01 RW 02 Kel. Flamboyan untuk mencegah menyebabkan bau menyengat.,SUGGESTION
Penambahan CCTV lapangan komplek,Mohon dipertimbangkan program kerja bakti bulanan di RT 07 RW 01 Kel. Anyelir untuk mencegah menyebabkan banjir kecil.,SUGGESTION
Abu pembakaran sampah mengganggu jembatan kecil,Tumpukan plastik tiap akhir pekan tidak diangkut sejak 1 hari. Area RT 04 RW 02 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
Bau comberan gang utama,"Setelah hujan 3 hari, pohon besar mengalami masalah. Terjadi longsor kecil dan rawan kecelakaan.",ENVIRONMENT
Penerangan taman redup depan masjid,"PJU di Jl. Melati 6 padam sejak 2 hari, terutama pada malam. Menyebabkan area gelap dan membuat jalan licin. Mohon perbaikan.",LIGHTING
Keributan warga mabuk pasar,Kejadian balap liar terjadi tiap akhir pekan pada malam di RT 04 RW 03 Kel. Teratai. Kondisi membuat jalan licin.,SECURITY
Tempat sampah terpilah gang utama,Mohon dipertimbangkan program bank sampah di RT 06 RW 04 Kel. Flamboyan untuk mencegah membuat jalan licin.,SUGGESTION
Limbah rumah tangga ke parit lapangan komplek,"Setelah hujan 14 hari, kali mengalami masalah. Terjadi longsor kecil dan membahayakan pejalan kaki.",ENVIRONMENT
Keributan warga mabuk perempatan,Kejadian aksi mencurigakan terjadi hampir tiap hari pada pagi di RT 06 RW 04 Kel. Flamboyan. Kondisi membuat jalan licin.,SECURITY
Kap lampu pecah jembatan kecil,"PJU di Jl. Kenanga 5 padam sejak 6 hari, terutama pada siang. Menyebabkan area gelap dan menyebabkan bau menyengat. Mohon perbaikan.",LIGHTING
Permohonan surat pengantar perempatan,Informasi umum: barang hilang/temuan. Lokasi RT 08 RW 04 Kel. Teratai. Mohon tindak lanjut.,OTHER
Eceng gondok menutup kali lapangan komplek,"Setelah hujan 2 hari, kali mengalami masalah. Terjadi genangan dan menghambat akses darurat.",ENVIRONMENT
Penerangan taman redup depan masjid,"PJU di Jl. Melati 1 padam sejak 14 hari, terutama pada pagi. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Kap lampu pecah samping pos ronda,"PJU di Jl. Anggrek 1 padam sejak 1 hari, terutama pada malam. Menyebabkan area gelap dan menghambat akses darurat. Mohon perbaikan.",LIGHTING
Temuan dompet depan masjid,Informasi umum: pinjam fasilitas. Lokasi RT 08 RW 05 Kel. Mawar. Mohon tindak lanjut.,OTHER
Tekanan air sangat kecil dekat sekolah,Pasokan listrik bermasalah tiap akhir pekan sejak 3 hari di Jl. Anggrek 4. Dampak: mengakibatkan area gelap. Mohon pengecekan meter/pompa.,UTILITIES
Parkir liar tutup akses lapangan komplek,Kejadian keributan terjadi seminggu sekali pada pagi di RT 05 RW 03 Kel. Anyelir. Kondisi mengundang nyamuk.,SECURITY
Tempat sampah terpilah pasar,Mohon dipertimbangkan program bank sampah di RT 03 RW 04 Kel. Mawar untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Parkir liar tutup akses balai warga,Kejadian pencurian terjadi tiap akhir pekan pada sore di RT 08 RW 02 Kel. Flamboyan. Kondisi menghambat akses darurat.,SECURITY
Listrik padam saat hujan balai warga,Pasokan air bermasalah hampir tiap hari sejak 14 hari di Jl. Kenanga 3. Dampak: mengganggu aktivitas warga. Mohon pengecekan meter/pompa.,UTILITIES
Keributan warga mabuk samping pos ronda,Kejadian aksi mencurigakan terjadi hampir tiap hari pada malam di RT 06 RW 02 Kel. Cempaka. Kondisi menyebabkan banjir kecil.,SECURITY
Listrik padam saat hujan jembatan kecil,Pasokan listrik bermasalah tiap akhir pekan sejak 14 hari di Jl. Anggrek 3. Dampak: menyebabkan banjir kecil. Mohon pengecekan meter/pompa.,UTILITIES
Bau menyengat dari tumpukan sampah samping pos ronda,Tumpukan ranting hampir tiap hari tidak diangkut sejak 7 hari. Area RT 08 RW 02 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
Bau menyengat dari tumpukan sampah taman,Tumpukan daun kering setiap hari tidak diangkut sejak 3 hari. Area RT 09 RW 03 menjadi kotor dan menyebabkan banjir kecil.,CLEANLINESS
Bau menyengat dari tumpukan sampah perempatan,Tumpukan sampah rumah tangga hampir tiap hari tidak diangkut sejak 5 hari. Area RT 01 RW 04 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
Bau comberan jembatan kecil,"Setelah hujan 3 hari, kali mengalami masalah. Terjadi genangan dan mengganggu aktivitas warga.",ENVIRONMENT
Kap lampu pecah samping pos ronda,"PJU di Jl. Melati 5 padam sejak 7 hari, terutama pada sore. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Program taman baca balai warga,Mohon dipertimbangkan program taman baca di RT 05 RW 04 Kel. Mawar untuk mencegah mengakibatkan area gelap.,SUGGESTION
Parkir liar tutup akses gang utama,Kejadian balap liar terjadi tiap akhir pekan pada malam di RT 07 RW 05 Kel. Flamboyan. Kondisi mengganggu aktivitas warga.,SECURITY
Kebocoran pipa air samping pos ronda,Pasokan air bermasalah setiap hari sejak 5 hari di Jl. Kenanga 4. Dampak: rawan kecelakaan. Mohon pengecekan meter/pompa.,UTILITIES
Panel PJU terbuka jembatan kecil,"PJU di Jl. Kenanga 3 padam sejak 14 hari, terutama pada siang. Menyebabkan area gelap dan membuat jalan licin. Mohon perbaikan.",LIGHTING
Penambahan CCTV pasar,Mohon dipertimbangkan program one gate system di RT 03 RW 04 Kel. Teratai untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Pohon tumbang/miring taman,"Setelah hujan 6 hari, kali mengalami masalah. Terjadi longsor kecil dan membahayakan pejalan kaki.",ENVIRONMENT
Panel PJU terbuka gang utama,"PJU di Jl. Anggrek 2 padam sejak 5 hari, terutama pada malam. Menyebabkan area gelap dan membuat jalan licin. Mohon perbaikan.",LIGHTING
Marka jalan pudar balai warga,RT 02 RW 02 Jl. Kenanga 2 di Kel. Anyelir mengalami kerusakan parah selama 4 hari. Lubang berdiameter 150 cm membahayakan pejalan kaki.,INFRASTRUCTURE
Usulan bank sampah taman,Mohon dipertimbangkan program rak sepeda di RT 05 RW 03 Kel. Flamboyan untuk mencegah mengundang nyamuk.,SUGGESTION
Permintaan pinjam kursi dekat sekolah,Informasi umum: administrasi. Lokasi RT 04 RW 03 Kel. Teratai. Mohon tindak lanjut.,OTHER
Sampah menumpuk jembatan kecil,Tumpukan sampah rumah tangga hampir tiap hari tidak diangkut sejak 7 hari. Area RT 02 RW 05 menjadi kotor dan rawan kecelakaan.,CLEANLINESS
Abu pembakaran sampah mengganggu balai warga,Tumpukan ranting seminggu sekali tidak diangkut sejak 5 hari. Area RT 06 RW 05 menjadi kotor dan membuat jalan licin.,CLEANLINESS
Sampah menumpuk pasar,Tumpukan plastik seminggu sekali tidak diangkut sejak 5 hari. Area RT 02 RW 02 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Kucing hilang dicari pemilik gang utama,Informasi umum: administrasi. Lokasi RT 08 RW 04 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Sampah menumpuk taman,Tumpukan sampah rumah tangga hampir tiap hari tidak diangkut sejak 4 hari. Area RT 09 RW 01 menjadi kotor dan mengakibatkan area gelap.,CLEANLINESS
Jembatan kecil rapuh lapangan komplek,RT 02 RW 04 Jl. Melati 5 di Kel. Teratai mengalami kerusakan parah selama 14 hari. Lubang berdiameter 190 cm menghambat akses darurat.,INFRASTRUCTURE
Banjir genangan lapangan komplek,"Setelah hujan 3 hari, pohon besar mengalami masalah. Terjadi genangan dan mengganggu aktivitas warga.",ENVIRONMENT
Saran pemasangan speed bump taman,Mohon dipertimbangkan program bank sampah di RT 07 RW 04 Kel. Cempaka untuk mencegah mengganggu aktivitas warga.,SUGGESTION
Tekanan air sangat kecil gang utama,Pasokan listrik bermasalah setiap hari sejak 6 hari di Jl. Anggrek 1. Dampak: membahayakan pejalan kaki. Mohon pengecekan meter/pompa.,UTILITIES
Lampu jalan mati gang utama,"PJU di Jl. Kenanga 1 padam sejak 1 hari, terutama pada siang. Menyebabkan area gelap dan membahayakan pejalan kaki. Mohon perbaikan.",LIGHTING
Orang asing mencurigakan perempatan,Kejadian aksi mencurigakan terjadi setiap hari pada pagi di RT 05 RW 05 Kel. Flamboyan. Kondisi membahayakan pejalan kaki.,SECURITY
Eceng gondok menutup kali lapangan komplek,"Setelah hujan 3 hari, kali mengalami masalah. Terjadi genangan dan mengganggu aktivitas warga.",ENVIRONMENT
Bau menyengat dari tumpukan sampah taman,Tumpukan daun kering seminggu sekali tidak diangkut sejak 10 hari. Area RT 09 RW 04 menjadi kotor dan menghambat akses darurat.,CLEANLINESS
Bahu jalan longsor lapangan komplek,RT 10 RW 03 Jl. Kenanga 1 di Kel. Flamboyan mengalami kerusakan parah selama 5 hari. Lubang berdiameter 60 cm membahayakan pejalan kaki.,INFRASTRUCTURE
Keributan warga mabuk lapangan komplek,Kejadian balap liar terjadi tiap akhir pekan pada sore di RT 06 RW 02 Kel. Mawar. Kondisi mengundang nyamuk.,SECURITY
Program taman baca samping pos ronda,Mohon dipertimbangkan program bank sampah di RT 04 RW 01 Kel. Cempaka untuk mencegah menghambat akses darurat.,SUGGESTION
Trotoar rusak perempatan,RT 10 RW 04 Jl. Melati 3 di Kel. Mawar mengalami kerusakan sedang selama 14 hari. Lubang berdiameter 20 cm mengundang nyamuk.,INFRASTRUCTURE
Lampu jalan mati gang utama,"PJU di Jl. Anggrek 3 padam sejak 2 hari, terutama pada siang. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Panel PJU terbuka gang utama,"PJU di Jl. Kenanga 5 padam sejak 5 hari, terutama pada siang. Menyebabkan area gelap dan menyebabkan banjir kecil. Mohon perbaikan.",LIGHTING
Penerangan taman redup samping pos ronda,"PJU di Jl. Melati 7 padam sejak 6 hari, terutama pada malam. Menyebabkan area gelap dan membuat jalan licin. Mohon perbaikan.",LIGHTING
Kerja bakti rutin balai warga,Mohon dipertimbangkan program taman baca di RT 03 RW 03 Kel. Flamboyan untuk mencegah membuat jalan licin.,SUGGESTION
Trotoar rusak taman,RT 04 RW 03 Jl. Anggrek 1 di Kel. Cempaka mengalami kerusakan sedang selama 14 hari. Lubang berdiameter 160 cm membahayakan pejalan kaki.,INFRASTRUCTURE
Penerangan taman redup depan masjid,"PJU di Jl. Anggrek 4 padam sejak 5 hari, terutama pada sore. Menyebabkan area gelap dan rawan kecelakaan. Mohon perbaikan.",LIGHTING
Eceng gondok menutup kali gang utama,"Setelah hujan 5 hari, kali mengalami masalah. Terjadi longsor kecil dan menyebabkan banjir kecil.",ENVIRONMENT
Kurang tempat sampah perempatan,Tumpukan sampah rumah tangga seminggu sekali tidak diangkut sejak 4 hari. Area RT 02 RW 01 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
Penerangan taman redup dekat sekolah,"PJU di Jl. Kenanga 3 padam sejak 14 hari, terutama pada malam. Menyebabkan area gelap dan mengganggu aktivitas warga. Mohon perbaikan.",LIGHTING
Kabel listrik semrawut balai warga,Pasokan air bermasalah tiap akhir pekan sejak 6 hari di Jl. Anggrek 3. Dampak: mengakibatkan area gelap. Mohon pengecekan meter/pompa.,UTILITIES
Permohonan surat pengantar samping pos ronda,Informasi umum: barang hilang/temuan. Lokasi RT 02 RW 04 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Kerja bakti rutin balai warga,Mohon dipertimbangkan program bank sampah di RT 09 RW 05 Kel. Anyelir untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Trotoar rusak gang utama,RT 04 RW 03 Jl. Anggrek 1 di Kel. Flamboyan mengalami kerusakan parah selama 5 hari. Lubang berdiameter 160 cm menghambat akses darurat.,INFRASTRUCTURE
Orang asing mencurigakan samping pos ronda,Kejadian pencurian terjadi hampir tiap hari pada sore di RT 08 RW 01 Kel. Teratai. Kondisi menghambat akses darurat.,SECURITY
Abu pembakaran sampah mengganggu gang utama,Tumpukan sampah rumah tangga tiap akhir pekan tidak diangkut sejak 1 hari. Area RT 10 RW 05 menjadi kotor dan menyebabkan banjir kecil.,CLEANLINESS
Penerangan taman redup balai warga,"PJU di Jl. Kenanga 3 padam sejak 14 hari, terutama pada malam. Menyebabkan area gelap dan membahayakan pejalan kaki. Mohon perbaikan.",LIGHTING
Temuan dompet perempatan,Informasi umum: barang hilang/temuan. Lokasi RT 05 RW 05 Kel. Teratai. Mohon tindak lanjut.,OTHER
Banjir genangan pasar,"Setelah hujan 2 hari, tanah tebing mengalami masalah. Terjadi longsor kecil dan mengakibatkan area gelap.",ENVIRONMENT
Sampah menumpuk depan masjid,Tumpukan daun kering seminggu sekali tidak diangkut sejak 10 hari. Area RT 09 RW 04 menjadi kotor dan mengganggu aktivitas warga.,CLEANLINESS
Permohonan surat pengantar balai warga,Informasi umum: administrasi. Lokasi RT 03 RW 03 Kel. Mawar. Mohon tindak lanjut.,OTHER
Tekanan air sangat kecil depan masjid,Pasokan air bermasalah seminggu sekali sejak 10 hari di Jl. Anggrek 4. Dampak: mengundang nyamuk. Mohon pengecekan meter/pompa.,UTILITIES
Pencurian motor samping pos ronda,Kejadian penjambretan terjadi tiap akhir pekan pada sore di RT 07 RW 02 Kel. Cempaka. Kondisi mengganggu aktivitas warga.,SECURITY
Kurang tempat sampah dekat sekolah,Tumpukan daun kering tiap akhir pekan tidak diangkut sejak 1 hari. Area RT 05 RW 02 menjadi kotor dan mengganggu aktivitas warga.,CLEANLINESS
Keributan warga mabuk taman,Kejadian penjambretan terjadi tiap akhir pekan pada sore di RT 06 RW 04 Kel. Teratai. Kondisi mengakibatkan area gelap.,SECURITY
Kucing hilang dicari pemilik samping pos ronda,Informasi umum: barang hilang/temuan. Lokasi RT 07 RW 04 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Penutup got hilang balai warga,RT 02 RW 05 Jl. Melati 5 di Kel. Anyelir mengalami kerusakan sedang selama 7 hari. Lubang berdiameter 120 cm menyebabkan bau menyengat.,INFRASTRUCTURE
Penambahan CCTV depan masjid,Mohon dipertimbangkan program rak sepeda di RT 03 RW 03 Kel. Flamboyan untuk mencegah menyebabkan bau menyengat.,SUGGESTION
Kurang tempat sampah perempatan,Tumpukan ranting tiap akhir pekan tidak diangkut sejak 6 hari. Area RT 03 RW 02 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
Program taman baca samping pos ronda,Mohon dipertimbangkan program rak sepeda di RT 09 RW 03 Kel. Teratai untuk mencegah mengakibatkan area gelap.,SUGGESTION
Jembatan kecil rapuh taman,RT 06 RW 01 Jl. Anggrek 1 di Kel. Mawar mengalami kerusakan sedang selama 1 hari. Lubang berdiameter 160 cm membahayakan pejalan kaki.,INFRASTRUCTURE
Permohonan surat pengantar perempatan,Informasi umum: barang hilang/temuan. Lokasi RT 02 RW 04 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Sampah menumpuk gang utama,Tumpukan daun kering seminggu sekali tidak diangkut sejak 5 hari. Area RT 10 RW 02 menjadi kotor dan membuat jalan licin.,CLEANLINESS
Paving bergelombang balai warga,RT 08 RW 03 Jl. Anggrek 2 di Kel. Cempaka mengalami kerusakan parah selama 1 hari. Lubang berdiameter 50 cm menyebabkan banjir kecil.,INFRASTRUCTURE
CCTV pos ronda mati perempatan,Kejadian balap liar terjadi tiap akhir pekan pada siang di RT 08 RW 05 Kel. Teratai. Kondisi mengundang nyamuk.,SECURITY
Tiang lampu miring gang utama,"PJU di Jl. Anggrek 3 padam sejak 5 hari, terutama pada pagi. Menyebabkan area gelap dan menghambat akses darurat. Mohon perbaikan.",LIGHTING
Paving bergelombang pasar,RT 09 RW 02 Jl. Melati 7 di Kel. Teratai mengalami kerusakan parah selama 7 hari. Lubang berdiameter 70 cm menyebabkan bau menyengat.,INFRASTRUCTURE
Usulan bank sampah gang utama,Mohon dipertimbangkan program bank sampah di RT 10 RW 04 Kel. Cempaka untuk mencegah menyebabkan bau menyengat.,SUGGESTION
Jalan berlubang pasar,RT 08 RW 04 Jl. Melati 2 di Kel. Mawar mengalami kerusakan sedang selama 5 hari. Lubang berdiameter 40 cm membahayakan pejalan kaki.,INFRASTRUCTURE
Bau comberan pasar,"Setelah hujan 1 hari, kali mengalami masalah. Terjadi longsor kecil dan menyebabkan banjir kecil.",ENVIRONMENT
Usulan bank sampah perempatan,Mohon dipertimbangkan program pelatihan APAR di RT 03 RW 02 Kel. Teratai untuk mencegah menyebabkan bau menyengat.,SUGGESTION
Temuan dompet gang utama,Informasi umum: pinjam fasilitas. Lokasi RT 08 RW 02 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Banjir genangan gang utama,"Setelah hujan 10 hari, kali mengalami masalah. Terjadi longsor kecil dan membahayakan pejalan kaki.",ENVIRONMENT
Kabel listrik semrawut gang utama,Pasokan air bermasalah hampir tiap hari sejak 7 hari di Jl. Kenanga 2. Dampak: menyebabkan bau menyengat. Mohon pengecekan meter/pompa.,UTILITIES
Penambahan CCTV balai warga,Mohon dipertimbangkan program taman baca di RT 05 RW 02 Kel. Mawar untuk mencegah mengakibatkan area gelap.,SUGGESTION
Keluhan suara genset dekat sekolah,Informasi umum: hewan liar masuk rumah. Lokasi RT 07 RW 04 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Balap liar gang utama,Kejadian keributan terjadi seminggu sekali pada sore di RT 01 RW 04 Kel. Mawar. Kondisi menghambat akses darurat.,SECURITY
Bahu jalan longsor samping pos ronda,RT 08 RW 04 Jl. Melati 6 di Kel. Flamboyan mengalami kerusakan ringan selama 10 hari. Lubang berdiameter 30 cm menyebabkan bau menyengat.,INFRASTRUCTURE
Usulan bank sampah taman,Mohon dipertimbangkan program taman baca di RT 06 RW 05 Kel. Flamboyan untuk mencegah mengakibatkan area gelap.,SUGGESTION
Penambahan CCTV jembatan kecil,Mohon dipertimbangkan program kerja bakti bulanan di RT 02 RW 05 Kel. Cempaka untuk mencegah mengganggu aktivitas warga.,SUGGESTION
Tempat sampah terpilah dekat sekolah,Mohon dipertimbangkan program rak sepeda di RT 09 RW 05 Kel. Flamboyan untuk mencegah menyebabkan banjir kecil.,SUGGESTION
Keributan warga mabuk samping pos ronda,Kejadian balap liar terjadi setiap hari pada siang di RT 04 RW 03 Kel. Flamboyan. Kondisi membahayakan pejalan kaki.,SECURITY
Listrik padam saat hujan balai warga,Pasokan listrik bermasalah hampir tiap hari sejak 10 hari di Jl. Kenanga 4. Dampak: membahayakan pejalan kaki. Mohon pengecekan meter/pompa.,UTILITIES
Kebocoran pipa air depan masjid,Pasokan listrik bermasalah seminggu sekali sejak 2 hari di Jl. Kenanga 4. Dampak: mengundang nyamuk. Mohon pengecekan meter/pompa.,UTILITIES
Poster liar dan vandalisme dekat sekolah,Tumpukan daun kering hampir tiap hari tidak diangkut sejak 7 hari. Area RT 08 RW 01 menjadi kotor dan mengganggu aktivitas warga.,CLEANLINESS
Bau comberan jembatan kecil,"Setelah hujan 2 hari, tanah tebing mengalami masalah. Terjadi hambatan aliran dan mengakibatkan area gelap.",ENVIRONMENT
Kap lampu pecah jembatan kecil,"PJU di Jl. Melati 3 padam sejak 4 hari, terutama pada malam. Menyebabkan area gelap dan menyebabkan banjir kecil. Mohon perbaikan.",LIGHTING
Tempat sampah terpilah balai warga,Mohon dipertimbangkan program kerja bakti bulanan di RT 10 RW 03 Kel. Flamboyan untuk mencegah rawan kecelakaan.,SUGGESTION
Temuan dompet samping pos ronda,Informasi umum: hewan liar masuk rumah. Lokasi RT 02 RW 02 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Sampah menumpuk pasar,Tumpukan daun kering setiap hari tidak diangkut sejak 1 hari. Area RT 07 RW 05 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
